Age,Attrition,BusinessTravel,Department,EducationField,EmployeeNumber,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,Life Sciences,1,Female,Sales Executive,Single,5993,Yes,8,0,6,4,0,5
49,No,Travel_Frequently,Research & Development,Life Sciences,2,Male,Research Scientist,Married,5130,No,10,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,Other,4,Male,Laboratory Technician,Single,2090,Yes,7,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,Life Sciences,5,Female,Research Scientist,Married,2909,Yes,8,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,Medical,7,Male,Laboratory Technician,Married,3468,No,6,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,Life Sciences,8,Male,Laboratory Technician,Single,3068,No,8,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,Medical,10,Female,Laboratory Technician,Married,2670,Yes,12,3,1,0,0,0
30,No,Travel_Rarely,Research & Development,Life Sciences,11,Male,Laboratory Technician,Divorced,2693,No,1,2,1,0,0,0
38,No,Travel_Frequently,Research & Development,Life Sciences,12,Male,Manufacturing Director,Single,9526,No,10,2,9,7,1,8
36,No,Travel_Rarely,Research & Development,Medical,13,Male,Healthcare Representative,Married,5237,No,17,3,7,7,7,7
35,No,Travel_Rarely,Research & Development,Medical,14,Male,Laboratory Technician,Married,2426,No,6,5,5,4,0,3
29,No,Travel_Rarely,Research & Development,Life Sciences,15,Female,Laboratory Technician,Single,4193,Yes,10,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,Life Sciences,16,Male,Research Scientist,Divorced,2911,No,5,1,5,2,4,3
34,No,Travel_Rarely,Research & Development,Medical,18,Male,Laboratory Technician,Divorced,2661,No,3,2,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,Life Sciences,19,Male,Laboratory Technician,Single,2028,Yes,6,4,4,2,0,3
29,No,Travel_Rarely,Research & Development,Life Sciences,20,Female,Manufacturing Director,Divorced,9980,No,10,1,10,9,8,8
32,No,Travel_Rarely,Research & Development,Life Sciences,21,Male,Research Scientist,Divorced,3298,Yes,7,5,6,2,0,5
22,No,Non-Travel,Research & Development,Medical,22,Male,Laboratory Technician,Divorced,2935,Yes,1,2,1,0,0,0
53,No,Travel_Rarely,Sales,Life Sciences,23,Female,Manager,Married,15427,No,31,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,Life Sciences,24,Male,Research Scientist,Single,3944,Yes,6,3,3,2,1,2
24,No,Non-Travel,Research & Development,Other,26,Female,Manufacturing Director,Divorced,4011,No,5,5,4,2,1,3
36,Yes,Travel_Rarely,Sales,Life Sciences,27,Male,Sales Representative,Single,3407,No,10,4,5,3,0,3
34,No,Travel_Rarely,Research & Development,Life Sciences,28,Female,Research Director,Single,11994,No,13,4,12,6,2,11
21,No,Travel_Rarely,Research & Development,Life Sciences,30,Male,Research Scientist,Single,1232,No,0,6,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,Medical,31,Male,Research Scientist,Single,2960,No,8,2,4,2,1,3
53,No,Travel_Rarely,Research & Development,Other,32,Female,Manager,Divorced,19094,No,26,3,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,Life Sciences,33,Female,Research Scientist,Single,3919,Yes,10,5,10,2,6,7
42,No,Travel_Rarely,Sales,Marketing,35,Male,Sales Executive,Married,6825,No,10,2,9,7,4,2
44,No,Travel_Rarely,Research & Development,Medical,36,Female,Healthcare Representative,Married,10248,No,24,4,22,6,5,17
46,No,Travel_Rarely,Sales,Marketing,38,Female,Manager,Single,18947,No,22,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,Medical,39,Male,Laboratory Technician,Single,2496,No,7,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,Other,40,Male,Healthcare Representative,Married,6465,Yes,9,5,4,2,1,3
30,No,Travel_Rarely,Research & Development,Medical,41,Male,Laboratory Technician,Single,2206,No,10,5,10,0,1,8
39,Yes,Travel_Rarely,Sales,Technical Degree,42,Male,Sales Representative,Married,2086,No,19,6,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,Medical,45,Male,Research Scientist,Married,2293,Yes,6,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,Medical,46,Female,Research Scientist,Divorced,2645,No,6,3,5,3,1,4
50,Yes,Travel_Rarely,Sales,Marketing,47,Male,Sales Representative,Married,2683,Yes,3,2,3,2,0,2
35,No,Travel_Rarely,Sales,Marketing,49,Female,Sales Representative,Married,2014,No,2,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,Life Sciences,51,Female,Research Scientist,Married,3419,Yes,6,3,1,1,0,0
33,No,Travel_Frequently,Sales,Life Sciences,52,Female,Sales Executive,Married,5376,No,10,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,Other,53,Male,Laboratory Technician,Divorced,1951,No,1,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,Life Sciences,54,Female,Laboratory Technician,Divorced,2341,No,1,6,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,Life Sciences,55,Male,Laboratory Technician,Single,2293,No,1,2,1,0,0,1
27,No,Travel_Frequently,Sales,Life Sciences,56,Male,Sales Executive,Single,8726,No,9,0,9,8,1,7
30,No,Travel_Frequently,Research & Development,Medical,57,Female,Laboratory Technician,Single,4011,No,12,2,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,Technical Degree,58,Female,Research Director,Married,19545,No,23,0,22,15,15,8
34,No,Non-Travel,Sales,Marketing,60,Male,Sales Executive,Single,4568,No,10,2,9,5,8,7
37,No,Travel_Rarely,Research & Development,Life Sciences,61,Male,Research Scientist,Married,3022,No,8,1,1,0,0,0
46,No,Travel_Frequently,Sales,Marketing,62,Male,Sales Executive,Single,5772,Yes,14,4,9,6,0,8
35,No,Travel_Rarely,Research & Development,Life Sciences,63,Male,Laboratory Technician,Married,2269,No,1,2,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,Life Sciences,64,Male,Laboratory Technician,Single,5381,Yes,23,2,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,Technical Degree,65,Male,Laboratory Technician,Single,3441,Yes,2,3,2,2,2,2
44,No,Travel_Rarely,Sales,Marketing,68,Female,Sales Executive,Divorced,5454,Yes,9,2,4,3,1,3
35,No,Non-Travel,Research & Development,Medical,70,Male,Healthcare Representative,Married,9884,Yes,10,3,4,0,2,3
26,No,Travel_Rarely,Sales,Marketing,72,Female,Sales Executive,Married,4157,Yes,5,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,Life Sciences,73,Female,Research Director,Single,13458,Yes,15,1,15,14,8,12
35,No,Travel_Frequently,Sales,Life Sciences,74,Male,Sales Executive,Married,9069,No,9,3,9,8,1,8
35,No,Travel_Rarely,Research & Development,Medical,75,Female,Laboratory Technician,Married,4014,Yes,4,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,Life Sciences,76,Male,Laboratory Technician,Divorced,5915,No,10,3,7,7,1,7
37,No,Travel_Rarely,Research & Development,Life Sciences,77,Male,Manufacturing Director,Divorced,5993,No,7,2,7,5,0,7
32,No,Travel_Rarely,Research & Development,Medical,78,Male,Manufacturing Director,Married,6162,Yes,9,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,Life Sciences,79,Female,Laboratory Technician,Single,2406,No,10,2,10,3,9,9
50,No,Travel_Rarely,Research & Development,Medical,80,Female,Research Director,Divorced,18740,Yes,29,2,27,3,13,8
59,No,Travel_Rarely,Sales,Life Sciences,81,Female,Sales Executive,Single,7637,No,28,3,21,16,7,9
36,No,Travel_Rarely,Research & Development,Technical Degree,83,Female,Healthcare Representative,Divorced,10096,No,17,2,17,14,12,8
55,No,Travel_Rarely,Research & Development,Medical,84,Female,Manager,Divorced,14756,Yes,21,2,5,0,0,2
36,No,Travel_Frequently,Research & Development,Life Sciences,85,Male,Manufacturing Director,Single,6499,No,6,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,Life Sciences,86,Male,Research Scientist,Divorced,9724,No,25,2,1,0,0,0
35,No,Travel_Frequently,Research & Development,Medical,88,Male,Research Scientist,Married,2194,No,5,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,Medical,90,Male,Research Scientist,Married,3388,Yes,2,0,1,0,0,0
59,No,Travel_Frequently,Sales,Life Sciences,91,Female,Sales Executive,Single,5473,No,20,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,Life Sciences,94,Male,Research Scientist,Married,2703,No,6,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,Medical,95,Male,Research Scientist,Single,2501,No,1,4,1,1,1,0
32,No,Travel_Rarely,Research & Development,Life Sciences,96,Male,Research Scientist,Married,6220,No,10,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,Life Sciences,97,Female,Laboratory Technician,Married,3038,No,5,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,Life Sciences,98,Female,Manufacturing Director,Single,4424,No,11,2,11,7,1,8
